,Plot.ID,Species,n,rel.freq,Class,X,Y
1,BA10,Chestnut oak,6,0.75,Canopy,-78.178317,38.555405
2,BA10,Hickory,1,0.125,Canopy,-78.178317,38.555405
3,BA10,Red maple,1,0.125,Canopy,-78.178317,38.555405
4,BA11,Chestnut oak,2,0.2,Canopy,-78.176861,38.5542
5,BA11,Hickory,2,0.2,Canopy,-78.176861,38.5542
6,BA11,Red maple,2,0.2,Canopy,-78.176861,38.5542
7,BA11,Red oak,1,0.1,Canopy,-78.176861,38.5542
8,BA11,Sweet birch,2,0.2,Canopy,-78.176861,38.5542
9,BA11,White pine,1,0.1,Canopy,-78.176861,38.5542
10,BA12,Eastern redcedar,1,0.166666667,Canopy,-78.178147,38.551184
11,BA12,Red maple,2,0.333333333,Canopy,-78.178147,38.551184
12,BA12,Tulip poplar,3,0.5,Canopy,-78.178147,38.551184
13,BA13,Black locust,1,0.166666667,Canopy,-78.17906,38.54947
14,BA13,Eastern redcedar,1,0.166666667,Canopy,-78.17906,38.54947
15,BA13,Tulip poplar,1,0.166666667,Canopy,-78.17906,38.54947
16,BA13,Virginia pine,3,0.5,Canopy,-78.17906,38.54947
17,BA13A,Hickory,1,0.166666667,Canopy,-78.179579,38.550865
18,BA13A,Red maple,1,0.166666667,Canopy,-78.179579,38.550865
19,BA13A,Tulip poplar,2,0.333333333,Canopy,-78.179579,38.550865
20,BA13A,Virginia pine,1,0.166666667,Canopy,-78.179579,38.550865
21,BA13A,White oak,1,0.166666667,Canopy,-78.179579,38.550865
22,BA2,Eastern hemlock,1,0.125,Canopy,-78.186778,38.549867
23,BA2,Red maple,2,0.25,Canopy,-78.186778,38.549867
24,BA2,Red oak,1,0.125,Canopy,-78.186778,38.549867
25,BA2,Sweet birch,1,0.125,Canopy,-78.186778,38.549867
26,BA2,Tulip poplar,1,0.125,Canopy,-78.186778,38.549867
27,BA2,White oak,1,0.125,Canopy,-78.186778,38.549867
28,BA2,White pine,1,0.125,Canopy,-78.186778,38.549867
29,BA3,Hickory,3,0.5,Canopy,-78.189005,38.548276
30,BA3,Tulip poplar,1,0.166666667,Canopy,-78.189005,38.548276
31,BA3,White oak,2,0.333333333,Canopy,-78.189005,38.548276
32,BA4,Black walnut,1,0.142857143,Canopy,-78.185226,38.552771
33,BA4,Hickory,5,0.714285714,Canopy,-78.185226,38.552771
34,BA4,Post oak,1,0.142857143,Canopy,-78.185226,38.552771
35,BA5,Black oak,1,0.166666667,Canopy,-78.18802,38.5543
36,BA5,Hickory,2,0.333333333,Canopy,-78.18802,38.5543
37,BA5,Red maple,2,0.333333333,Canopy,-78.18802,38.5543
38,BA5,Tulip poplar,1,0.166666667,Canopy,-78.18802,38.5543
39,BA7,Black oak,1,0.090909091,Canopy,-78.18992,38.558188
40,BA7,Blackgum,1,0.090909091,Canopy,-78.18992,38.558188
41,BA7,Red oak,1,0.090909091,Canopy,-78.18992,38.558188
42,BA7,Tulip poplar,1,0.090909091,Canopy,-78.18992,38.558188
43,BA7,White pine,7,0.636363636,Canopy,-78.18992,38.558188
44,BA8,Black oak,1,0.125,Canopy,-78.190431,38.560391
45,BA8,Red maple,2,0.25,Canopy,-78.190431,38.560391
46,BA8,Tulip poplar,4,0.5,Canopy,-78.190431,38.560391
47,BA8,White pine,1,0.125,Canopy,-78.190431,38.560391
48,BH10,Hickory,5,0.625,Canopy,-78.18865501,38.58322526
49,BH10,Red oak,2,0.25,Canopy,-78.18865501,38.58322526
50,BH10,White oak,1,0.125,Canopy,-78.18865501,38.58322526
51,BH11,Hickory,3,0.75,Canopy,-78.18845702,38.5846322
